#  GBr_GRr          G           Gapp
     2.84252      10.2528      15.9143 
     2.51288      9.50427      15.1659 
     1.23294      6.33971      12.0013 
     2.43456      9.40298      15.0646 
     3.17611      11.4694       17.131 
    0.745856      4.32453      9.98612 
     2.83799      13.9785      19.6401 
     2.90917      10.6386      16.3001 
     3.11484      14.1906      19.8522 
     2.63959       9.1163      14.7779 
    0.897059      4.98357      10.6452 
    0.648981      3.62644      9.28803 
     1.95931      8.30733      13.9689 
     2.25703       8.9695      14.6311 
     3.12132        10.75      16.4116 
     2.37729      9.43208      15.0937 
     1.89913      8.21553      13.8771 
     3.17438      11.9003      17.5619 
     2.84303      10.5006      16.1622 
     3.23116      12.2748      17.9363 
     1.59648      7.46986      13.1315 
    0.838429      4.07263      9.73422 
     2.51304       11.813      17.4746 
     3.15508      11.4269      17.0885 
     1.21581       6.3033      11.9649 
     1.68231       7.4772      13.1388 
     2.54051      9.14913      14.8107 
    0.975648      5.30531      10.9669 
     2.66903      12.7362      18.3978 
     2.52399      9.62877      15.2904 
    0.420668      2.66129      8.32288 
     2.41466      8.73956      14.4012 
     2.88511      12.9187      18.5803 
     3.67044      12.8561      18.5177 
     2.71752       11.266      16.9275 
     1.80481       7.9444       13.606 
     3.24029       13.896      19.5576 
     2.87283      10.8253      16.4869 
     2.98233       10.916      16.5776 
    0.785845      4.47287      10.1345 
     3.22753       12.343      18.0046 
   0.0343723       1.2193      6.88089 
     2.72848      10.6718      16.3334 
     3.10232      11.6596      17.3212 
     2.34286      9.15702      14.8186 
     1.83227      8.05455      13.7161 
     2.50542      12.4794       18.141 
     1.04914      5.53133      11.1929 
     3.03874      11.2361      16.8977 
     2.96237      11.1026      16.7641 
     3.02095       13.074      18.7356 
      1.6122      7.49238       13.154 
     2.35555      9.75496      15.4166 
      2.2056      8.84663      14.5082 
     1.89976      8.19625      13.8578 
     1.85019      7.89158      13.5532 
     3.07826      11.1102      16.7718 
     2.64103      11.6705      17.3321 
     3.39469      13.8974       19.559 
    0.554826      3.21563      8.87722 
     1.39699      6.74441       12.406 
     2.53301      9.14502      14.8066 
     3.52053      13.6485      19.3101 
     2.83073      10.3652      16.0267 
     2.79113       10.363      16.0246 
     2.72095      12.2956      17.9572 
      1.8475      7.82488      13.4865 
      3.3605      12.1921      17.8537 
     2.99782      10.5056      16.1672 
     3.18918      11.7152      17.3768 
     3.43106      12.5294       18.191 
     3.06763      11.4311      17.0927 
     3.05308      11.5231      17.1847 
     2.54379      9.74793      15.4095 
     1.72603       7.8412      13.5028 
     3.05784       11.164      16.8256 
     2.68901      9.83846      15.5001 
    0.281302      2.42027      8.08185 
     1.55967      7.36456      13.0262 
      2.3638      10.0543      15.7159 
     0.63038      3.53025      9.19184 
      1.7004      12.5409      18.2025 
     2.79722      10.2942      15.9558 
     2.51446      13.8578      19.5194 
