# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
019004  15.065   0.647   0.349   0.745  15.091   0.630  15.083   0.650  15.116   0.630  13.799   0.280   236  999  295.31250  +40.22700
023004  15.137   0.647   0.357   0.757  15.175   0.637  15.165   0.649  15.187   0.647  13.867   0.268   621  999  295.31008  +40.16636
025004  15.174   0.624   0.334   0.764  15.192   0.614  15.183   0.631  15.218   0.608  13.881   0.334   270  999  295.34417  +40.21942
026004  15.176   0.638   0.341   0.750  15.221   0.643  15.195   0.632  15.233   0.620  13.903   0.292   597  999  295.34729  +40.17297
027004  15.203   0.657   0.372   0.759  15.239   0.660  15.215   0.641  15.249   0.644  13.914   0.324   561  999  295.34837  +40.17722
029004  15.300   0.624   0.363   0.728  15.319   0.622  15.295   0.653  15.306   0.628  99.999  99.999  9999  999  295.31337  +40.22522
030004  15.287   0.583   0.339   0.682  15.320   0.582  15.306   0.577  15.343   0.579  14.130   0.307   404  999  295.28954  +40.19489
036004  15.465   0.594   0.340   0.704  15.479   0.605  15.478   0.598  15.490   0.598  14.198   0.371   356  999  295.36092  +40.20925
038004  15.490   0.587   0.328   0.700  15.509   0.583  15.497   0.594  15.517   0.589  14.279   0.214   267  999  295.35804  +40.21453
039004  15.470   0.589   0.293   0.681  15.514   0.574  15.511   0.570  15.528   0.573  14.349   0.271   322  999  295.28150  +40.20217
045004  15.553   0.572   0.335   0.697  15.567   0.579  15.550   0.575  15.572   0.576  14.396   0.304   353  999  295.35712  +40.20914
048004  15.598   0.602   0.343   0.728  15.618   0.609  15.608   0.618  15.636   0.613  14.394   0.310   623  999  295.30071  +40.16817
049004  15.609   0.661   0.349   0.776  15.642   0.645  15.637   0.655  15.652   0.649  14.337   0.298   241  999  295.33600  +40.22567
054004  15.872   0.599   0.353   0.715  15.883   0.599  15.883   0.603  15.910   0.611  14.637   0.335   238  999  295.31896  +40.22908
064004  16.033   0.639   0.357   0.759  16.071   0.627  16.067   0.640  16.090   0.635  14.764   0.131   532  999  295.29654  +40.17325
066004  16.098   0.635   0.366   0.766  16.112   0.628  16.110   0.631  16.138   0.617  14.871   0.326   240  999  295.33462  +40.22694
075004  16.362   0.699   0.373   0.809  16.404   0.665  16.413   0.652  16.379   0.668  99.999  99.999  9999  999  295.31021  +40.17047
