#  GBr_GRr           G
     2.71489      10.2335 
     3.58598      13.0481 
     2.31932      9.17044 
    0.894501      4.92869 
     2.19889      8.78763 
     1.00399       5.4492 
    0.301494      1.55165 
     3.08797      10.9414 
      1.0237      5.53909 
    0.743166      4.92365 
     1.71586      7.52626 
    0.793955      3.88534 
     2.60543      9.05495 
     1.90781       8.0698 
    0.872209      4.83382 
     3.03023      11.4149 
     2.71505       10.176 
     2.88823      10.9388 
     3.07933      11.7672 
     2.51108       9.7646 
     3.14983      11.7274 
     0.81454      3.72044 
